物件名,築年数,専有面積
リューズ・リバー月島,27,66.4
ＪＲ山手線 巣鴨駅 3階建 築5年,5,27.74
パークコート文京小石川ザ・タワー,4,42.13
都営三田線 春日駅 地下2地上40階建 築4年,4,43.82
Ｂｒｉｌｌｉａ　ｉｓｔ　文京六義園,2,50.65
ＪＲ山手線 渋谷駅 3階建 築14年,14,125.88
グランプラス千駄木,12,40.84
ＪＲ山手線 目白駅 14階建 築20年,20,25.34
パークシティ中央湊　ザ　タワー,8,59.25
藤和目白坂ホームズ,22,83.81
クリオ文京音羽,11,35.67
都営三田線 千石駅 3階建 新築,0,50.57
（仮称）本駒込６丁目メゾン,0,50.57
都営新宿線 岩本町駅 13階建 築5年,5,45.5
東京メトロ千代田線 千駄木駅 15階建 築3年,3,30.62
ＬａＳａｎｔｅ文京千駄木,3,32.34
YAMATOMURA Green terrace B,11,50.95
アンソレイユ白金高輪,0,36.74
カーサ　デ　マジョ,16,42.15
Maison de CiEL V,4,17.7
シャレール広尾,19,29.03
スピティ根津,5,45.62
パークナードフィット南青山Vista,5,24.99
パークサイド西原　A棟,27,112.4
メディルーブ目白台,0,69.46
デュオヴェール飯田橋,9,48.23
東京メトロ東西線 早稲田駅 7階建 築3年,3,34.29
エプル,3,34.29
ＪＲ山手線 駒込駅 5階建 新築,0,29.14
サンルートアライ,41,15.12
千駄木戸建,22,79.75
東京メトロ南北線 本駒込駅 3階建 築22年,22,79.75
ＪＲ山手線 高田馬場駅 3階建 築16年,16,27.37
TRUST VALUE 千駄木,36,195.71
東京メトロ丸ノ内線 茗荷谷駅 地下1地上6階建 築6年,6,25.24
ワテラスタワーレジデンス,12,70.6
グリーンハウス,51,21.12
オーパスホームズ白山,26,41.39
ヴェリテージ文京小石川,2,66.6
Casa　Lirio,15,34.16
ザ・パークハウス文京白山,8,38.53
プラウド代官山テラス,5,102.06
うぇすてる藍ぞめC棟,4,36.49
プラチナレジデンス千石,5,27.74
東京メトロ銀座線 末広町駅 12階建 築11年,11,53.53
コーポ文化村,47,19.0
レジディア文京音羽II １１０５号室　１１階,17,67.95
都営大江戸線 春日駅 6階建 築5年,5,40.32
東京メトロ有楽町線 護国寺駅 6階建 築2年,2,51.2
パークリュクス神田,4,25.28
東京メトロ有楽町線 江戸川橋駅 12階建 築11年,11,35.67
都営三田線 白山駅 5階建 築4年,4,30.03
エルスタンザ文京千駄木,6,40.3
東京メトロ千代田線 千駄木駅 13階建 築6年,6,40.3
ＪＲ中央線 四ツ谷駅 14階建 築4年,4,90.0
レジデンス上原,55,18.45
都営三田線 千石駅 地下1地上12階建 築20年,20,23.96
東京メトロ日比谷線 人形町駅 10階建 新築,0,45.09
都営三田線 白金高輪駅 3階建 新築,0,36.74
彰文居FRecoA向丘,14,25.73
プラザ・デル・ソル本郷,0,25.97
東京メトロ千代田線 湯島駅 11階建 新築,0,26.27
プラザ・デル・ソル,0,26.18
東京メトロ丸ノ内線 本郷三丁目駅 11階建 新築,0,26.18
レオパレスＲＸコスモＭ,35,21.6
プレール・ドゥーク文京本郷,0,51.31
レジディア文京本駒込,17,24.3
東京メトロ南北線 本駒込駅 15階建 築17年,17,24.3
ライオンズマンション西新宿第８,40,15.86
BPRレジデンス渋谷,19,25.19
ＪＲ埼京線 渋谷駅 地下1地上13階建 築19年,19,25.19
都営大江戸線 春日駅 4階建 築9年,9,24.1
LAPiS本郷（ラピス本郷）,6,24.1
ラピス本郷,9,45.0
ボヌール小石川α,3,42.18
ＬｉｖｅＣａｓａ文京千石I,0,35.61
サンハイム田町,50,13.77
Brillia ist 文京茗荷谷,6,25.24
東京メトロ日比谷線 八丁堀駅 10階建 築15年,15,57.1
ＨＦ千駄木レジデンス,19,40.41
恵比寿戸建,19,118.4
paz-classe本郷春木町,12,43.32
ラ・ぺルラ文京小石川,2,43.06
都営三田線 春日駅 7階建 築2年,2,43.06
SAKURAI HOUSE C棟 サクライハウス,45,222.09
京急本線 品川駅 2階建 築45年,45,222.09
東京メトロ南北線 東大前駅 地下1地上11階建 築26年,26,41.39
アルファサイト御茶ノ水,5,25.98
J’sコート文京千駄木,1,36.42
ＪＲ山手線 高田馬場駅 5階建 築42年,42,15.55
東京メトロ南北線 本駒込駅 15階建 築17年,17,21.53
赤城下町　戸建,56,119.2
東京メトロ日比谷線 人形町駅 地下1地上11階建 築1年,1,28.08
赤城下町　戸建,56,119.2
東京メトロ東西線 神楽坂駅 2階建 築56年,56,119.2
ユーレジデンス音羽,9,30.81
東京メトロ有楽町線 護国寺駅 4階建 築9年,9,30.81
ＪＲ山手線 西日暮里駅 地下1地上4階建 新築,0,26.1
パークアクシス御茶ノ水ヒルトップ,7,26.37
ＪＲ総武線 御茶ノ水駅 14階建 築7年,7,29.81
グリンヒル本郷元町,10,44.14
都営三田線 白山駅 8階建 築8年,8,38.53
イニシアイオ湯島三組坂上,16,40.75
クレストコート目白新坂レジデンス,5,38.85
ファレール笹塚II,2,58.56
都営三田線 水道橋駅 14階建 築15年,15,41.55
メゾンカルム本郷,15,41.92
オープンレジデンシア文京本駒込,9,54.91
東京メトロ有楽町線 江戸川橋駅 4階建 築4年,4,34.7
Ｐｈａｌａｅｎｏｐｓｉｓ小日向,6,31.47
クアトロアルカ九段,6,94.35
ＪＲ総武線 浅草橋駅 11階建 築3年,3,25.57
ＬｉｖｅＦｌａｔ千駄木,0,40.56
コートヒル本郷,5,40.32
東京メトロ千代田線 千駄木駅 5階建 新築,0,40.56
GRAN　PASEO本郷三丁目,4,25.7
東京メトロ有楽町線 江戸川橋駅 2階建 新築,0,85.48
リビオメゾン御茶ノ水イースト,0,25.41
プライムスクェアシティ,29,37.7
ライブコア中井,36,14.6
アーバネックス小石川春日,3,25.0
都営大江戸線 本郷三丁目駅 15階建 新築,0,45.07
東京メトロ千代田線 千駄木駅 14階建 築9年,9,59.84
プライムブリス日本橋馬喰町,0,25.96
東京メトロ千代田線 湯島駅 10階建 築3年,3,41.12
パティオ表参道,28,63.01
都営大江戸線 飯田橋駅 7階建 築17年,17,38.74
ヒルコート千駄木,22,51.02
東京メトロ丸ノ内線 本郷三丁目駅 12階建 新築,0,51.31
東京メトロ有楽町線 江戸川橋駅 4階建 築2年,2,41.88
都営大江戸線 勝どき駅 8階建 築1年,1,26.88
東京メトロ丸ノ内線 新大塚駅 2階建 築16年,16,42.15
フラットワン小松,38,17.22
都営新宿線 浜町駅 8階建 新築,0,33.72
都営三田線 白山駅 4階建 築7年,7,40.75
プレセダンヒルズ文京本駒込,5,25.64
ジャコワ日本橋中洲,0,35.38
久米マンション,52,44.72
オープンレジデンシア文京六義園,7,41.07
東京メトロ有楽町線 江戸川橋駅 7階建 新築,0,25.83
TRADIS文京江戸川橋,0,25.43
セルリアンホームズ勝どき,24,61.92
東京メトロ有楽町線 東池袋駅 3階建 新築,0,20.98
Maison de Cloche,0,20.98
ザ・パークハウス六番町,13,83.13
ルミーク文京千石,0,40.02
プラネット千石,35,45.53
東京メトロ有楽町線 月島駅 10階建 築17年,17,40.63
エトワール飯田橋,8,25.07
ＪＲ中央線 飯田橋駅 10階建 築8年,8,25.07
東京メトロ丸ノ内線 新大塚駅 13階建 築8年,8,47.44
アブソルート白山,3,40.19
アブソルート白山,3,40.19
コンフォリア本駒込一丁目,3,33.6
東京メトロ南北線 本駒込駅 6階建 築3年,3,27.54
都営三田線 白山駅 地下1地上4階建 築5年,5,40.25
東京メトロ日比谷線 茅場町駅 10階建 築19年,19,58.03
フレンシア築地,5,55.61
東京メトロ日比谷線 築地駅 12階建 築5年,5,54.95
PASEO文京茗荷谷,5,23.18
東京メトロ日比谷線 人形町駅 10階建 築3年,3,25.47
都営大江戸線 本郷三丁目駅 15階建 築12年,12,43.5
東京メトロ半蔵門線 神保町駅 14階建 新築,0,25.98
テラス文京本郷,5,25.01
ブールバード白山,0,30.3
東京メトロ丸ノ内線 茗荷谷駅 4階建 築2年,2,41.8
京王新線 幡ヶ谷駅 地下1地上4階建 新築,0,40.19
東京メトロ東西線 神楽坂駅 13階建 築6年,6,32.7
KACHIDOKI THE TOWER,9,40.42
ＪＲ山手線 駒込駅 14階建 築3年,3,40.21
東京メトロ半蔵門線 水天宮前駅 14階建 新築,0,31.15
ＪＲ山手線 神田駅 12階建 築1年,1,28.14
初台二丁目戸建,27,73.02
ツインパレス,33,20.81
東京メトロ千代田線 千駄木駅 地下1地上3階建 築33年,33,22.84
ツインパレス,33,74.19
東京メトロ半蔵門線 水天宮前駅 10階建 築6年,6,54.19
イプセ日本橋,0,31.15
レピュア早稲田レジデンスII,0,19.7
東京メトロ有楽町線 江戸川橋駅 7階建 築10年,10,25.74
クレヴィスタ文京江戸川橋,10,25.92
フェニックス西参道タワー,17,20.75
イプセ日本橋,0,31.15
ＪＲ山手線 神田駅 12階建 築2年,2,40.0
東京メトロ南北線 本駒込駅 3階建 築8年,8,30.5
（仮称)ハイニーサ本郷,0,45.83
東京メトロ丸ノ内線 本郷三丁目駅 6階建 新築,0,45.83
レジディア御茶ノ水プレイス,3,40.93
南青山マスターズハウス,13,66.9
本町戸建,18,84.87
レジデンスシャルマン月島,22,30.15
東京メトロ丸ノ内線 本郷三丁目駅 13階建 築4年,4,25.7
オーパスレジデンス銀座イースト,5,40.42
ジェイパーク文京白山,24,65.4
東京メトロ南北線 白金高輪駅 3階建 新築,0,162.52
LUMICITY月島(ルミシテイ月島),0,26.68
東京メトロ銀座線 神田駅 15階建 築2年,2,25.8
東京メトロ丸ノ内線 茗荷谷駅 10階建 築34年,34,36.43
プライムガーデン銀座八丁堀,0,27.39
ヴィークブライト月島,3,25.8
都営大江戸線 月島駅 8階建 築3年,3,25.8
東京メトロ南北線 市ケ谷駅 12階建 築7年,7,25.11
ザ・クラスアーバンス御茶ノ水,0,19.0
BLANCHE御茶ノ水,12,41.9
クロッシング明石町,0,63.19
東京メトロ半蔵門線 神保町駅 12階建 築21年,21,40.36
エスレジデンス駒込六義園,3,40.21
都営大江戸線 月島駅 37階建 築34年,34,37.08
ラグゼナ日本橋,2,32.06
ＪＲ総武線快速 馬喰町駅 10階建 新築,0,25.96
パークキューブ春日安藤坂,20,26.39
都営三田線 千石駅 6階建 築29年,29,106.91
東京メトロ半蔵門線 神保町駅 12階建 築21年,21,40.36
勝どきビュータワー,15,40.49
都営大江戸線 勝どき駅 55階建 築15年,15,54.68
アトリオフラッツ御茶ノ水,2,19.57
オーベル明石町レジデンス,11,58.59
ロイジェント銀座,0,34.92
本駒込Kマンション,26,65.01
東京メトロ半蔵門線 水天宮前駅 地下2地上46階建 築20年,20,44.01
東京メトロ丸ノ内線 本郷三丁目駅 地下1地上13階建 築4年,4,27.08
東京メトロ日比谷線 人形町駅 13階建 築20年,20,27.42
日本橋ファーストレジデンス,20,27.4
ＪＲ山手線 神田駅 14階建 築11年,11,25.01
パティオ神田,11,25.01
シーズンフラッツ日本橋人形町プレミア,1,45.09
東京メトロ日比谷線 築地駅 12階建 築5年,5,40.42
都営三田線 白山駅 10階建 新築,0,30.3
ＪＲ山手線 恵比寿駅 3階建 築13年,13,96.57
東京メトロ丸ノ内線 御茶ノ水駅 13階建 築6年,6,33.8
リーラ勝鬨ニューハウン,26,68.32
デュオフラッツ飯田橋EAST,4,30.32
ドゥーエ日本橋,21,29.07
東京メトロ日比谷線 茅場町駅 地下1地上13階建 築21年,21,29.07
都営新宿線 浜町駅 12階建 築19年,19,52.7
東急東横線 代官山駅 地上2階建 戸建,26,246.0
ミテッツァ千代田三崎町,14,40.09
都営三田線 白山駅 4階建 築12年,12,32.08
アパートメンツ南麻布II,18,42.6
東京メトロ半蔵門線 水天宮前駅 地下1地上14階建 築26年,26,55.85
ＪＲ山手線 恵比寿駅 13階建 新築,0,31.47
都営大江戸線 勝どき駅 8階建 築13年,13,39.31
都営新宿線 浜町駅 12階建 築19年,19,52.7
VAINQUEUR iwamotocho,9,30.21
都営三田線 白山駅 4階建 築12年,12,32.08
京王新線 初台駅 5階建 築6年,6,60.58
アーバネックス神保町,17,23.71
ＪＲ中央線 四ツ谷駅 13階建 築9年,9,54.15
東京メトロ半蔵門線 水天宮前駅 地下1地上14階建 築26年,26,55.85
東京メトロ丸ノ内線 後楽園駅 5階建 築4年,4,43.5
プロスパー小石川,4,43.5
都営大江戸線 勝どき駅 8階建 築13年,13,39.31
東京メトロ有楽町線 護国寺駅 地下1地上11階建 築17年,17,22.37
フェリーチェお茶の水,29,62.08
京王井の頭線 神泉駅 3階建 築29年,29,105.58
東京メトロ南北線 麻布十番駅 7階建 築22年,22,268.61
東京メトロ千代田線 代々木上原駅 2階建 築20年,20,72.24
都営新宿線 浜町駅 9階建 築15年,15,40.13
東京メトロ東西線 飯田橋駅 9階建 築7年,7,36.62
ＪＲ山手線 神田駅 9階建 築13年,13,35.99
アンビックス神田,13,55.02
東京メトロ有楽町線 麹町駅 地下1地上12階建 築20年,20,62.24
ウィルローズ月島テラス,14,62.43
セレ渋谷本町,20,65.83
都営大江戸線 西新宿五丁目駅 3階建 築20年,20,65.83
都営大江戸線 勝どき駅 58階建 築18年,18,46.38
LaSante一番町,18,81.51
東京メトロ半蔵門線 半蔵門駅 地下1地上14階建 築18年,18,81.51
東急東横線 代官山駅 2階建 築28年,28,252.82
都営新宿線 岩本町駅 12階建 築6年,6,25.66
アザレア根津,13,41.93
東京メトロ千代田線 根津駅 13階建 築13年,13,46.11
アンビックス神田,13,55.02
ＣＲＥＡＬ新富町,2,40.35
ワールドパレス千駄木,29,63.93
東京メトロ有楽町線 麹町駅 地下1地上12階建 築20年,20,62.24
京王新線 初台駅 3階建 新築,0,59.94
東京メトロ日比谷線 築地駅 11階建 築45年,45,67.2
モンテベルデ築地,45,67.2
東急東横線 代官山駅 8階建 築6年,6,113.0
JP noie 恵比寿西,6,113.0
シャルマンミューズ,10,32.36
東京メトロ日比谷線 人形町駅 10階建 築3年,3,40.02
Crest本郷,22,31.15
東京メトロ南北線 東大前駅 地下1地上14階建 築22年,22,31.15
ホワイトパレス,40,82.39
レジダンス千駄木,41,66.91
東京メトロ千代田線 千駄木駅 10階建 築16年,16,38.23
LaSante一番町,18,81.51
東京メトロ半蔵門線 半蔵門駅 地下1地上14階建 築18年,18,81.51
マルモール代々木,47,33.82
都営新宿線 馬喰横山駅 12階建 築8年,8,44.55
都営新宿線 岩本町駅 12階建 築6年,6,25.66
ＪＲ山手線 巣鴨駅 地下1地上5階建 築11年,11,28.85
ザ・ライオンズフォーシア八丁堀,2,25.49
東京メトロ日比谷線 八丁堀駅 10階建 築2年,2,25.49
CAPITAL-1,6,21.5
レグルス西新宿,2,76.82
都営大江戸線 西新宿五丁目駅 地下1地上4階建 築2年,2,76.82
レニール本駒込,19,26.12
東京メトロ半蔵門線 神保町駅 12階建 築29年,29,62.08
京橋レジデンス,9,43.38
レニール本駒込,19,26.12
ＪＲ山手線 駒込駅 地下2地上22階建 築28年,28,51.01
ＪＲ山手線 駒込駅 12階建 築6年,6,25.76
東京メトロ半蔵門線 神保町駅 12階建 築5年,5,41.79
東京メトロ千代田線 千駄木駅 14階建 築22年,22,33.88
東京メトロ南北線 東大前駅 9階建 築14年,14,25.74
ステージファースト東大前,14,25.74
京橋レジデンス,9,43.38
都営三田線 春日駅 2階建 新築,0,44.25
東京メトロ千代田線 湯島駅 3階建 築5年,5,29.02
AXAS文京本駒込,9,43.65
パークアクシス東日本橋,0,38.23
ＪＲ総武線 浅草橋駅 12階建 新築,0,38.23
クレストコート日本橋浜町,0,35.61
都営新宿線 浜町駅 10階建 築1年,1,35.61
プラウドフラット日本橋馬喰町,0,27.56
ＪＲ総武線快速 馬喰町駅 15階建 新築,0,27.56
東京メトロ半蔵門線 水天宮前駅 11階建 築7年,7,40.7
オープンレジデンシア銀座築地,7,40.54
東京メトロ日比谷線 築地駅 12階建 築7年,7,40.54
ディームス渋谷本町,6,54.66
東京メトロ有楽町線 江戸川橋駅 12階建 築3年,3,25.05
SYFORME江戸川橋,3,25.0
東京メトロ有楽町線 護国寺駅 2階建 築4年,4,34.05
ＪＲ中央線 市ケ谷駅 地下1地上5階建 築2年,2,39.36
ブランズ九段北,10,70.8
東急東横線 代官山駅 8階建 築6年,6,61.6
東京メトロ半蔵門線 水天宮前駅 12階建 築5年,5,41.09
ＺＯＯＭ日本橋蛎殻町,5,41.09
チェスターコート御茶ノ水,18,27.14
ＺＯＯＭ日本橋蛎殻町,5,41.09
ＪＲ中央線 御茶ノ水駅 11階建 新築,0,25.98
東京メトロ千代田線 代々木公園駅 5階建 築3年,3,105.7
ライオンズフォーシア神田須田町,2,25.8
東京メトロ日比谷線 人形町駅 12階建 築2年,2,31.61
パークリュクス日本橋小網町mono,15,25.63
ＪＲ京葉線 八丁堀駅 地下1地上30階建 築8年,8,64.1
レジデンス文京春日,3,25.16
東京メトロ丸ノ内線 後楽園駅 14階建 築3年,3,25.12
グランカーサ本駒込,6,56.36
ＪＲ山手線 駒込駅 地下1地上15階建 築6年,6,56.36
プリームス青柳,4,25.67
東京メトロ有楽町線 月島駅 地下2地上43階建 築25年,25,42.1
ＪＲ山手線 神田駅 12階建 築8年,8,40.48
都営大江戸線 月島駅 8階建 新築,0,41.3
エルボヌール勝どき,8,31.12
ＪＲ山手線 秋葉原駅 5階建 築7年,7,45.9
東急東横線 代官山駅 4階建 新築,0,94.26
