物件名,築年数,専有面積
パークコート渋谷　ザ　タワー,5,40.07
東京メトロ南北線 麻布十番駅 12階建 築25年,25,18.89
セレビア新宿御苑前,21,25.11
Signal Hill,14,22.68
クレジデンス神谷町,20,18.91
ファーレ四谷IV,5,24.6
菱和パレス代々木上原,34,25.88
ラティエラ四谷,0,26.31
ハイツ神田岩本町,44,20.65
ＪＲ総武線快速 馬喰町駅 11階建 築44年,44,23.28
東京メトロ銀座線 神田駅 10階建 築9年,9,30.21
エスコートノヴェル広尾,23,33.73
ゼフィルス西落合,10,14.49
都営大江戸線 赤羽橋駅 地下2地上12階建 築35年,35,50.13
恵比寿ガーデンテラス弐番館,31,41.43
目白下落合ハウス,7,69.21
高輪マンション,56,37.05
HF東新宿レジデンス,18,25.11
KDXレジデンス白金II,21,26.95
東京メトロ南北線 東大前駅 地下1地上12階建 築41年,41,19.91
グランティ幡ヶ谷,33,18.12
One CUBE夏目坂,6,9.5
パレスEBS（旧館）,41,17.6
トリビュート白金,13,51.41
ペガサスマンション笹塚,39,17.26
グランクール,16,27.37
ヴェルデュール高田馬場,9,25.41
村上コーポ,47,30.0
高輪ビューハイツ,44,44.04
都営三田線 春日駅 4階建 築41年,41,14.31
スカイコートヒルズ北新宿,8,25.5
メインステージ白金高輪駅前,20,23.02
レジディア上落合,19,20.7
メゾン・ド・ロアイヤル,42,13.78
パレステュディオ六本木,24,21.14
グレースミーナ,15,8.95
ガーラ新宿西落合,23,20.02
グランヴァン西落合,26,19.46
ロイジェントパークス四ツ谷,8,28.2
ルイシャトレ恵比寿,40,18.74
BLISS SENDAGI（ブリスセンダギ）,0,76.07
トーシンフェニックス江戸川橋,19,24.28
BLISS SENDAGI（ブリスセンダギ）,0,76.07
パークアクシス芝浦キャナル,4,25.55
東京メトロ東西線 落合駅 地下1地上10階建 築16年,16,26.31
コーポ滝島,53,26.96
ＬＵＫＩＣＩＡ神楽坂,4,32.72
サンテミリオン東麻布,22,19.32
GRANPASEO北新宿,0,30.06
プレシティー笹塚I,32,9.31
インペリアル東新宿,20,18.18
西武新宿線 下落合駅 地下1地上4階建 築3年,3,18.13
ガーラ・ステーション新宿御苑前,18,23.49
ＪＲ山手線 高田馬場駅 2階建 築5年,5,10.09
テラス高田馬場ウエスト,0,31.27
シティハウス西原,38,13.0
ドルチェ新宿,30,18.45
アサヒヒルズ,39,15.6
パークウェル下落合駅前,18,22.62
ウエリスアーバン品川タワー,22,29.58
FOIIビル,17,19.19
La est Maison,30,23.44
エクラージュ本駒込,3,66.4
都営大江戸線 落合南長崎駅 5階建 築5年,5,25.51
東京メトロ丸ノ内線 茗荷谷駅 15階建 築5年,5,68.5
エスコート西新宿,24,23.37
ラ・ソレイユ,28,20.46
パークプリエ神楽坂,20,23.15
ローレルタワールネ浜松町,6,25.05
京急本線 北品川駅 15階建 築3年,3,22.82
クレヴィア茗荷谷文京の丘,5,68.0
ル ヴァンヴェール 目白,21,25.6
パークアクシス芝浦キャナル,4,25.55
レオパレス21幡ヶ谷第3,36,15.5
東京メトロ東西線 早稲田駅 3階建 築20年,20,21.48
ルーブル早稲田五番館,17,20.25
ラ・イスラ・ベルデ,33,17.5
ペンギン幡ヶ谷,37,14.42
HJ PLACE神楽坂,4,12.4
岡崎ビル,41,23.57
スパシエ新宿哲学堂公園,15,20.39
ｓｏｌａｎａ護国寺[ソラーナ護国寺],3,50.12
ＪＲ山手線 巣鴨駅 10階建 築6年,6,21.5
キャッスルマンション幡ヶ谷,42,20.29
ルーブル西新宿,34,19.77
JUN HANABI,17,39.45
グローリオ文京東大前ヒルズ,8,72.28
東京メトロ東西線 早稲田駅 7階建 築27年,27,19.36
ルマムティアラ富久,27,20.13
パールコート,23,22.35
ルーブル早稲田,23,19.86
東京メトロ東西線 早稲田駅 8階建 築23年,23,19.86
ベルファース早稲田,23,20.61
京王新線 初台駅 11階建 築43年,43,22.1
エスト　ガーデン,0,61.67
メゾン・ド・モンターニュ,42,13.4
エールプラザ戸山台,33,17.16
フォレンツタワー文京千石,16,65.0
瑞鶯ハイツ,37,18.24
メゾン・ド・さくら,12,21.81
サンピア白山.,12,24.02
ペンテリーブル神楽坂,34,18.0
ＵＲＢＡＮＬＩＮＫ護国寺,2,51.2
サン恵比寿,43,10.74
ザ・パークハビオ文京目白台プレイス,0,26.72
東京メトロ千代田線 代々木公園駅 3階建 築31年,31,16.32
都営大江戸線 落合南長崎駅 6階建 築34年,34,16.5
エクセル高輪,30,22.25
フォレスト弥生,24,101.77
マイシルク,36,10.27
マジェスティコート小石川・播磨坂,20,76.99
Ｓｈａｎｔｉ　Ｃａｓａ四谷若葉,6,9.0
ＪＲ中央線 御茶ノ水駅 13階建 新築,0,25.5
リビオメゾン御茶ノ水EAST,0,25.41
東京メトロ南北線 東大前駅 10階建 築2年,2,58.25
カーザビアンカ,6,40.91
